country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Fiji,Oceania,Melanesia,No data,No data,17.24,19.47,21.28,13.98,16.64,26.36,52.9,-34.30
Papua New Guinea,Oceania,Melanesia,No data,No data,9.11,13.08,16.40,9.57,12.06,No data,32.4,-41.65
Vanuatu,Oceania,Melanesia,No data,No data,4.55,No data,15.44,7.89,10.06,No data,121.1,-48.90
Western Sahara,Oceania,Melanesia,No data,No data,14.95,20.12,23.84,14.01,20.91,No data,39.9,-41.23
